customer_id,account_id,subscription_type,subscription_amount,subscription_operating_cost,subscription_duration,cancel_validation,cancel_reason
STRM-101260,ACC-101260,tier 2,7,3,562,yes,not enough content
STRM-101261,ACC-101261,tier 2,7,3,602,yes,too expensive
STRM-101262,ACC-101262,tier 3,5,3,1169,no,
STRM-101263,ACC-101263,tier 2,7,3,1031,no,
STRM-101264,ACC-101264,tier 2,7,3,1233,no,
STRM-101265,ACC-101265,tier 1,10,3,1000,no,
STRM-101266,ACC-101266,tier 1,10,3,1061,no,
STRM-101267,ACC-101267,tier 2,7,3,1004,no,
STRM-101268,ACC-101268,tier 2,7,3,1262,no,
STRM-101269,ACC-101269,tier 2,7,3,1091,no,
STRM-101270,ACC-101270,tier 2,7,3,961,no,
STRM-101271,ACC-101271,tier 2,7,3,624,yes,switch to competitor
STRM-101272,ACC-101272,tier 3,5,3,258,yes,switch to competitor
STRM-101273,ACC-101273,tier 3,5,3,993,no,
STRM-101274,ACC-101274,tier 1,10,3,991,no,
STRM-101275,ACC-101275,tier 2,7,3,1082,no,
STRM-101276,ACC-101276,tier 1,10,3,1047,no,
STRM-101277,ACC-101277,tier 1,10,3,1185,no,
STRM-101278,ACC-101278,tier 3,5,3,1090,no,
STRM-101279,ACC-101279,tier 1,10,3,1047,no,
STRM-101280,ACC-101280,tier 2,7,3,1181,no,
STRM-101281,ACC-101281,tier 2,7,3,1020,no,
STRM-101282,ACC-101282,tier 2,7,3,975,no,
STRM-101283,ACC-101283,tier 2,7,3,335,yes,too expensive
STRM-101284,ACC-101284,tier 1,10,3,27,yes,not enough content
STRM-101285,ACC-101285,tier 2,7,3,1266,no,
STRM-101286,ACC-101286,tier 2,7,3,1174,no,
STRM-101287,ACC-101287,tier 1,10,3,1272,no,
STRM-101288,ACC-101288,tier 2,7,3,993,no,
STRM-101289,ACC-101289,tier 1,10,3,1253,no,
STRM-101290,ACC-101290,tier 1,10,3,963,no,
STRM-101291,ACC-101291,tier 2,7,3,1281,no,
STRM-101292,ACC-101292,tier 1,10,3,346,yes,switch to competitor
STRM-101293,ACC-101293,tier 2,7,3,1282,no,
STRM-101294,ACC-101294,tier 2,7,3,279,yes,not enough content
STRM-101295,ACC-101295,tier 3,5,3,1284,no,
STRM-101296,ACC-101296,tier 1,10,3,989,no,
STRM-101297,ACC-101297,tier 1,10,3,1005,no,
STRM-101298,ACC-101298,tier 1,10,3,1302,no,
STRM-101299,ACC-101299,tier 2,7,3,1091,no,
STRM-101300,ACC-101300,tier 2,7,3,992,no,
STRM-101301,ACC-101301,tier 1,10,3,1242,no,
STRM-101302,ACC-101302,tier 3,5,3,517,yes,switch to competitor
STRM-101303,ACC-101303,tier 1,10,3,1284,no,
STRM-101304,ACC-101304,tier 2,7,3,1073,no,
STRM-101305,ACC-101305,tier 2,7,3,970,no,
STRM-101306,ACC-101306,tier 3,5,3,363,yes,too expensive
STRM-101307,ACC-101307,tier 2,7,3,1171,no,
STRM-101308,ACC-101308,tier 3,5,3,981,no,
STRM-101309,ACC-101309,tier 2,7,3,967,no,
STRM-101310,ACC-101310,tier 3,5,3,1222,no,
STRM-101311,ACC-101311,tier 1,10,3,1016,no,
STRM-101312,ACC-101312,tier 3,5,3,1043,no,
STRM-101313,ACC-101313,tier 2,7,3,1301,no,
STRM-101314,ACC-101314,tier 3,5,3,1259,no,
STRM-101315,ACC-101315,tier 2,7,3,1045,no,
STRM-101316,ACC-101316,tier 2,7,3,515,yes,not enough content
STRM-101317,ACC-101317,tier 2,7,3,1003,no,
STRM-101318,ACC-101318,tier 2,7,3,1231,no,
STRM-101319,ACC-101319,tier 1,10,3,1007,no,
STRM-101320,ACC-101320,tier 1,10,3,1261,no,
STRM-101321,ACC-101321,tier 1,10,3,1216,no,
STRM-101322,ACC-101322,tier 1,10,3,604,yes,not enough content
STRM-101323,ACC-101323,tier 3,5,3,622,yes,not enough content
STRM-101324,ACC-101324,tier 1,10,3,1258,no,
STRM-101325,ACC-101325,tier 3,5,3,1130,no,
STRM-101326,ACC-101326,tier 2,7,3,1299,no,
STRM-101327,ACC-101327,tier 1,10,3,1239,no,
STRM-101328,ACC-101328,tier 3,5,3,1316,no,
STRM-101329,ACC-101329,tier 2,7,3,502,yes,switch to competitor
STRM-101330,ACC-101330,tier 2,7,3,992,no,
STRM-101331,ACC-101331,tier 2,7,3,1230,no,
STRM-101332,ACC-101332,tier 2,7,3,1064,no,
STRM-101333,ACC-101333,tier 1,10,3,1105,no,
STRM-101334,ACC-101334,tier 3,5,3,648,yes,switch to competitor
STRM-101335,ACC-101335,tier 3,5,3,999,no,
STRM-101336,ACC-101336,tier 2,7,3,716,yes,switch to competitor
STRM-101337,ACC-101337,tier 1,10,3,1238,no,
STRM-101338,ACC-101338,tier 2,7,3,1133,no,
STRM-101339,ACC-101339,tier 1,10,3,479,yes,too expensive
STRM-101340,ACC-101340,tier 1,10,3,195,yes,switch to competitor
STRM-101341,ACC-101341,tier 2,7,3,1056,no,
STRM-101342,ACC-101342,tier 2,7,3,1023,no,
STRM-101343,ACC-101343,tier 3,5,3,1263,no,
STRM-101344,ACC-101344,tier 2,7,3,399,yes,too expensive
STRM-101345,ACC-101345,tier 2,7,3,1020,no,
STRM-101346,ACC-101346,tier 2,7,3,1007,no,
STRM-101347,ACC-101347,tier 2,7,3,1085,no,
STRM-101348,ACC-101348,tier 2,7,3,1216,no,
STRM-101349,ACC-101349,tier 3,5,3,1250,no,
STRM-101350,ACC-101350,tier 1,10,3,240,yes,not enough content
STRM-101351,ACC-101351,tier 3,5,3,189,yes,not enough content
STRM-101352,ACC-101352,tier 2,7,3,515,yes,too expensive
STRM-101353,ACC-101353,tier 2,7,3,1177,no,
STRM-101354,ACC-101354,tier 2,7,3,1152,no,
STRM-101355,ACC-101355,tier 2,7,3,1317,no,
STRM-101356,ACC-101356,tier 3,5,3,1061,no,
STRM-101357,ACC-101357,tier 3,5,3,478,yes,switch to competitor
STRM-101358,ACC-101358,tier 2,7,3,724,yes,too expensive
STRM-101359,ACC-101359,tier 2,7,3,1136,no,
STRM-101360,ACC-101360,tier 2,7,3,1074,no,
STRM-101361,ACC-101361,tier 3,5,3,1021,no,
STRM-101362,ACC-101362,tier 1,10,3,430,yes,not enough content
STRM-101363,ACC-101363,tier 2,7,3,1082,no,
STRM-101364,ACC-101364,tier 2,7,3,966,no,
STRM-101365,ACC-101365,tier 2,7,3,1181,no,
STRM-101366,ACC-101366,tier 1,10,3,969,no,
STRM-101367,ACC-101367,tier 2,7,3,974,no,
STRM-101368,ACC-101368,tier 3,5,3,1132,no,
STRM-101369,ACC-101369,tier 1,10,3,1230,no,
STRM-101370,ACC-101370,tier 1,10,3,1148,no,
STRM-101371,ACC-101371,tier 3,5,3,229,yes,not enough content
STRM-101372,ACC-101372,tier 1,10,3,1183,no,
STRM-101373,ACC-101373,tier 3,5,3,1287,no,
STRM-101374,ACC-101374,tier 2,7,3,496,yes,too expensive
STRM-101375,ACC-101375,tier 1,10,3,1002,no,
STRM-101376,ACC-101376,tier 3,5,3,1085,no,
STRM-101377,ACC-101377,tier 2,7,3,1280,no,
STRM-101378,ACC-101378,tier 2,7,3,1244,no,
STRM-101379,ACC-101379,tier 2,7,3,569,yes,switch to competitor
STRM-101380,ACC-101380,tier 2,7,3,1104,no,
STRM-101381,ACC-101381,tier 1,10,3,1223,no,
STRM-101382,ACC-101382,tier 2,7,3,1023,no,
STRM-101383,ACC-101383,tier 3,5,3,1016,no,
STRM-101384,ACC-101384,tier 2,7,3,1164,no,
STRM-101385,ACC-101385,tier 2,7,3,1186,no,
STRM-101386,ACC-101386,tier 2,7,3,1295,no,
STRM-101387,ACC-101387,tier 3,5,3,563,yes,switch to competitor
STRM-101388,ACC-101388,tier 1,10,3,957,no,
STRM-101389,ACC-101389,tier 3,5,3,1198,no,
STRM-101390,ACC-101390,tier 2,7,3,1186,no,
STRM-101391,ACC-101391,tier 1,10,3,166,yes,too expensive
STRM-101392,ACC-101392,tier 1,10,3,1236,no,
STRM-101393,ACC-101393,tier 1,10,3,484,yes,too expensive
STRM-101394,ACC-101394,tier 2,7,3,354,yes,switch to competitor
STRM-101395,ACC-101395,tier 2,7,3,602,yes,not enough content
STRM-101396,ACC-101396,tier 3,5,3,467,yes,too expensive
STRM-101397,ACC-101397,tier 2,7,3,157,yes,switch to competitor
STRM-101398,ACC-101398,tier 1,10,3,1307,no,
STRM-101399,ACC-101399,tier 2,7,3,1272,no,
STRM-101400,ACC-101400,tier 2,7,3,1050,no,
STRM-101401,ACC-101401,tier 1,10,3,1277,no,
STRM-101402,ACC-101402,tier 1,10,3,1118,no,
STRM-101403,ACC-101403,tier 1,10,3,1135,no,
STRM-101404,ACC-101404,tier 2,7,3,1129,no,
STRM-101405,ACC-101405,tier 2,7,3,104,yes,switch to competitor
STRM-101406,ACC-101406,tier 2,7,3,310,yes,not enough content
STRM-101407,ACC-101407,tier 3,5,3,1107,no,
STRM-101408,ACC-101408,tier 3,5,3,1213,no,
STRM-101409,ACC-101409,tier 2,7,3,105,yes,not enough content
STRM-101410,ACC-101410,tier 3,5,3,1180,no,
STRM-101411,ACC-101411,tier 1,10,3,155,yes,not enough content
STRM-101412,ACC-101412,tier 1,10,3,1171,no,
STRM-101413,ACC-101413,tier 2,7,3,1164,no,
STRM-101414,ACC-101414,tier 1,10,3,1318,no,
STRM-101415,ACC-101415,tier 2,7,3,985,no,
STRM-101416,ACC-101416,tier 3,5,3,675,yes,not enough content
STRM-101417,ACC-101417,tier 1,10,3,1178,no,
STRM-101418,ACC-101418,tier 1,10,3,1073,no,
STRM-101419,ACC-101419,tier 2,7,3,1258,no,
STRM-101420,ACC-101420,tier 3,5,3,1236,no,
STRM-101421,ACC-101421,tier 2,7,3,965,no,
STRM-101422,ACC-101422,tier 2,7,3,1135,no,
STRM-101423,ACC-101423,tier 1,10,3,1170,no,
STRM-101424,ACC-101424,tier 1,10,3,998,no,
STRM-101425,ACC-101425,tier 3,5,3,716,yes,not enough content
STRM-101426,ACC-101426,tier 3,5,3,962,no,
STRM-101427,ACC-101427,tier 1,10,3,1313,no,
STRM-101428,ACC-101428,tier 3,5,3,1071,no,
STRM-101429,ACC-101429,tier 2,7,3,1240,no,
STRM-101430,ACC-101430,tier 3,5,3,134,yes,too expensive
STRM-101431,ACC-101431,tier 2,7,3,1141,no,
STRM-101432,ACC-101432,tier 2,7,3,1014,no,
STRM-101433,ACC-101433,tier 2,7,3,1164,no,
STRM-101434,ACC-101434,tier 2,7,3,964,no,
STRM-101435,ACC-101435,tier 1,10,3,1212,no,
STRM-101436,ACC-101436,tier 1,10,3,1262,no,
STRM-101437,ACC-101437,tier 2,7,3,1219,no,
STRM-101438,ACC-101438,tier 2,7,3,59,yes,switch to competitor
STRM-101439,ACC-101439,tier 1,10,3,141,yes,too expensive
STRM-101440,ACC-101440,tier 2,7,3,1217,no,
STRM-101441,ACC-101441,tier 3,5,3,299,yes,too expensive
STRM-101442,ACC-101442,tier 1,10,3,642,yes,too expensive
STRM-101443,ACC-101443,tier 2,7,3,556,yes,too expensive
STRM-101444,ACC-101444,tier 2,7,3,565,yes,too expensive
STRM-101445,ACC-101445,tier 3,5,3,501,yes,not enough content
STRM-101446,ACC-101446,tier 1,10,3,200,yes,not enough content
STRM-101447,ACC-101447,tier 2,7,3,1210,no,
STRM-101448,ACC-101448,tier 3,5,3,1159,no,
STRM-101449,ACC-101449,tier 3,5,3,1135,no,
STRM-101450,ACC-101450,tier 2,7,3,1152,no,
STRM-101451,ACC-101451,tier 2,7,3,718,yes,switch to competitor
STRM-101452,ACC-101452,tier 2,7,3,1111,no,
STRM-101453,ACC-101453,tier 3,5,3,391,yes,too expensive
STRM-101454,ACC-101454,tier 2,7,3,1068,no,
STRM-101455,ACC-101455,tier 1,10,3,982,no,
STRM-101456,ACC-101456,tier 3,5,3,1114,no,
STRM-101457,ACC-101457,tier 2,7,3,361,yes,switch to competitor
STRM-101458,ACC-101458,tier 2,7,3,526,yes,not enough content
STRM-101459,ACC-101459,tier 1,10,3,379,yes,not enough content
STRM-101460,ACC-101460,tier 2,7,3,1058,no,
STRM-101461,ACC-101461,tier 2,7,3,1191,no,
STRM-101462,ACC-101462,tier 2,7,3,84,yes,not enough content
STRM-101463,ACC-101463,tier 1,10,3,1124,no,
STRM-101464,ACC-101464,tier 2,7,3,1001,no,
STRM-101465,ACC-101465,tier 3,5,3,1081,no,
STRM-101466,ACC-101466,tier 1,10,3,1061,no,
STRM-101467,ACC-101467,tier 3,5,3,136,yes,too expensive
STRM-101468,ACC-101468,tier 2,7,3,1127,no,
STRM-101469,ACC-101469,tier 3,5,3,1034,no,
STRM-101470,ACC-101470,tier 3,5,3,1099,no,
STRM-101471,ACC-101471,tier 2,7,3,1263,no,
STRM-101472,ACC-101472,tier 2,7,3,533,yes,too expensive
STRM-101473,ACC-101473,tier 3,5,3,1066,no,
STRM-101474,ACC-101474,tier 2,7,3,1174,no,
STRM-101475,ACC-101475,tier 2,7,3,1132,no,
STRM-101476,ACC-101476,tier 2,7,3,999,no,
STRM-101477,ACC-101477,tier 3,5,3,1137,no,
STRM-101478,ACC-101478,tier 3,5,3,1199,no,
STRM-101479,ACC-101479,tier 3,5,3,132,yes,not enough content
STRM-101480,ACC-101480,tier 2,7,3,1044,no,
STRM-101481,ACC-101481,tier 3,5,3,288,yes,switch to competitor
STRM-101482,ACC-101482,tier 1,10,3,401,yes,switch to competitor
STRM-101483,ACC-101483,tier 2,7,3,1026,no,
STRM-101484,ACC-101484,tier 1,10,3,974,no,
STRM-101485,ACC-101485,tier 2,7,3,1005,no,
STRM-101486,ACC-101486,tier 2,7,3,92,yes,not enough content
STRM-101487,ACC-101487,tier 2,7,3,1184,no,
STRM-101488,ACC-101488,tier 2,7,3,1204,no,
STRM-101489,ACC-101489,tier 2,7,3,1147,no,
STRM-101490,ACC-101490,tier 2,7,3,1212,no,
STRM-101491,ACC-101491,tier 1,10,3,1166,no,
STRM-101492,ACC-101492,tier 2,7,3,1107,no,
STRM-101493,ACC-101493,tier 1,10,3,1039,no,
STRM-101494,ACC-101494,tier 1,10,3,1064,no,
STRM-101495,ACC-101495,tier 2,7,3,459,yes,switch to competitor
STRM-101496,ACC-101496,tier 2,7,3,1217,no,
STRM-101497,ACC-101497,tier 2,7,3,460,yes,not enough content
STRM-101498,ACC-101498,tier 2,7,3,995,no,
STRM-101499,ACC-101499,tier 2,7,3,989,no,
STRM-101500,ACC-101500,tier 3,5,3,1197,no,
STRM-101501,ACC-101501,tier 2,7,3,1161,no,
STRM-101502,ACC-101502,tier 2,7,3,221,yes,switch to competitor
STRM-101503,ACC-101503,tier 1,10,3,1305,no,
STRM-101504,ACC-101504,tier 2,7,3,512,yes,not enough content
STRM-101505,ACC-101505,tier 2,7,3,1159,no,
STRM-101506,ACC-101506,tier 2,7,3,976,no,
STRM-101507,ACC-101507,tier 2,7,3,1248,no,
STRM-101508,ACC-101508,tier 2,7,3,552,yes,switch to competitor
STRM-101509,ACC-101509,tier 2,7,3,1198,no,
STRM-101510,ACC-101510,tier 3,5,3,256,yes,too expensive
STRM-101511,ACC-101511,tier 3,5,3,1265,no,
STRM-101512,ACC-101512,tier 2,7,3,72,yes,not enough content
STRM-101513,ACC-101513,tier 3,5,3,1262,no,
STRM-101514,ACC-101514,tier 1,10,3,163,yes,not enough content
STRM-101515,ACC-101515,tier 1,10,3,36,yes,switch to competitor
STRM-101516,ACC-101516,tier 1,10,3,70,yes,not enough content
STRM-101517,ACC-101517,tier 2,7,3,1037,no,
STRM-101518,ACC-101518,tier 3,5,3,969,no,
STRM-101519,ACC-101519,tier 1,10,3,417,yes,not enough content
STRM-101520,ACC-101520,tier 3,5,3,1199,no,
STRM-101521,ACC-101521,tier 1,10,3,674,yes,not enough content
STRM-101522,ACC-101522,tier 3,5,3,518,yes,too expensive
STRM-101523,ACC-101523,tier 2,7,3,117,yes,too expensive
STRM-101524,ACC-101524,tier 1,10,3,1286,no,
STRM-101525,ACC-101525,tier 2,7,3,964,no,
STRM-101526,ACC-101526,tier 2,7,3,154,yes,switch to competitor
STRM-101527,ACC-101527,tier 2,7,3,998,no,
STRM-101528,ACC-101528,tier 2,7,3,1239,no,
STRM-101529,ACC-101529,tier 3,5,3,968,no,
STRM-101530,ACC-101530,tier 2,7,3,1251,no,
STRM-101531,ACC-101531,tier 2,7,3,1175,no,
STRM-101532,ACC-101532,tier 2,7,3,599,yes,too expensive
STRM-101533,ACC-101533,tier 2,7,3,1034,no,
STRM-101534,ACC-101534,tier 2,7,3,1083,no,
STRM-101535,ACC-101535,tier 2,7,3,1003,no,
STRM-101536,ACC-101536,tier 1,10,3,1131,no,
STRM-101537,ACC-101537,tier 1,10,3,1050,no,
STRM-101538,ACC-101538,tier 2,7,3,1205,no,
STRM-101539,ACC-101539,tier 1,10,3,1066,no,
STRM-101540,ACC-101540,tier 2,7,3,304,yes,switch to competitor
STRM-101541,ACC-101541,tier 2,7,3,1227,no,
STRM-101542,ACC-101542,tier 1,10,3,1185,no,
STRM-101543,ACC-101543,tier 2,7,3,1021,no,
STRM-101544,ACC-101544,tier 2,7,3,1079,no,
STRM-101545,ACC-101545,tier 3,5,3,1211,no,
STRM-101546,ACC-101546,tier 2,7,3,1271,no,
STRM-101547,ACC-101547,tier 3,5,3,635,yes,too expensive
STRM-101548,ACC-101548,tier 2,7,3,1190,no,
STRM-101549,ACC-101549,tier 1,10,3,976,no,
STRM-101550,ACC-101550,tier 2,7,3,1228,no,
STRM-101551,ACC-101551,tier 3,5,3,1080,no,
STRM-101552,ACC-101552,tier 2,7,3,1186,no,
STRM-101553,ACC-101553,tier 3,5,3,455,yes,switch to competitor
STRM-101554,ACC-101554,tier 3,5,3,1184,no,
STRM-101555,ACC-101555,tier 1,10,3,169,yes,too expensive
STRM-101556,ACC-101556,tier 1,10,3,1223,no,
STRM-101557,ACC-101557,tier 2,7,3,1079,no,
STRM-101558,ACC-101558,tier 2,7,3,1066,no,
STRM-101559,ACC-101559,tier 3,5,3,1067,no,
STRM-101560,ACC-101560,tier 3,5,3,1272,no,
STRM-101561,ACC-101561,tier 2,7,3,591,yes,too expensive
STRM-101562,ACC-101562,tier 1,10,3,1317,no,
STRM-101563,ACC-101563,tier 3,5,3,1280,no,
STRM-101564,ACC-101564,tier 2,7,3,1306,no,
STRM-101565,ACC-101565,tier 3,5,3,1128,no,
STRM-101566,ACC-101566,tier 2,7,3,1305,no,
STRM-101567,ACC-101567,tier 2,7,3,623,yes,switch to competitor
STRM-101568,ACC-101568,tier 1,10,3,1297,no,
STRM-101569,ACC-101569,tier 2,7,3,1028,no,
STRM-101570,ACC-101570,tier 2,7,3,575,yes,not enough content
STRM-101571,ACC-101571,tier 2,7,3,1115,no,
STRM-101572,ACC-101572,tier 1,10,3,181,yes,not enough content
STRM-101573,ACC-101573,tier 2,7,3,684,yes,too expensive
STRM-101574,ACC-101574,tier 3,5,3,332,yes,switch to competitor
STRM-101575,ACC-101575,tier 1,10,3,979,no,
STRM-101576,ACC-101576,tier 1,10,3,502,yes,not enough content
STRM-101577,ACC-101577,tier 1,10,3,643,yes,switch to competitor
STRM-101578,ACC-101578,tier 2,7,3,1101,no,
STRM-101579,ACC-101579,tier 2,7,3,973,no,
STRM-101580,ACC-101580,tier 2,7,3,1050,no,
STRM-101581,ACC-101581,tier 1,10,3,1080,no,
STRM-101582,ACC-101582,tier 2,7,3,1254,no,
STRM-101583,ACC-101583,tier 2,7,3,1101,no,
STRM-101584,ACC-101584,tier 2,7,3,1057,no,
STRM-101585,ACC-101585,tier 3,5,3,1082,no,
STRM-101586,ACC-101586,tier 1,10,3,1189,no,
STRM-101587,ACC-101587,tier 2,7,3,981,no,
STRM-101588,ACC-101588,tier 2,7,3,1277,no,
STRM-101589,ACC-101589,tier 2,7,3,475,yes,not enough content
STRM-101590,ACC-101590,tier 2,7,3,1224,no,
STRM-101591,ACC-101591,tier 2,7,3,1265,no,
STRM-101592,ACC-101592,tier 3,5,3,1260,no,
STRM-101593,ACC-101593,tier 1,10,3,965,no,
STRM-101594,ACC-101594,tier 1,10,3,646,yes,switch to competitor
STRM-101595,ACC-101595,tier 2,7,3,1165,no,
STRM-101596,ACC-101596,tier 2,7,3,727,yes,too expensive
STRM-101597,ACC-101597,tier 2,7,3,1073,no,
STRM-101598,ACC-101598,tier 1,10,3,566,yes,switch to competitor
STRM-101599,ACC-101599,tier 1,10,3,1082,no,
STRM-101600,ACC-101600,tier 3,5,3,470,yes,not enough content
STRM-101601,ACC-101601,tier 1,10,3,1089,no,
STRM-101602,ACC-101602,tier 2,7,3,1119,no,
STRM-101603,ACC-101603,tier 1,10,3,522,yes,too expensive
STRM-101604,ACC-101604,tier 2,7,3,1070,no,
STRM-101605,ACC-101605,tier 1,10,3,1288,no,
STRM-101606,ACC-101606,tier 2,7,3,1287,no,
STRM-101607,ACC-101607,tier 1,10,3,1260,no,
STRM-101608,ACC-101608,tier 3,5,3,962,no,
STRM-101609,ACC-101609,tier 1,10,3,1221,no,
STRM-101610,ACC-101610,tier 2,7,3,1207,no,
STRM-101611,ACC-101611,tier 3,5,3,983,no,
STRM-101612,ACC-101612,tier 2,7,3,975,no,
STRM-101613,ACC-101613,tier 2,7,3,1237,no,
STRM-101614,ACC-101614,tier 2,7,3,1072,no,
STRM-101615,ACC-101615,tier 2,7,3,1068,no,
STRM-101616,ACC-101616,tier 2,7,3,1199,no,
STRM-101617,ACC-101617,tier 3,5,3,1186,no,
STRM-101618,ACC-101618,tier 2,7,3,360,yes,switch to competitor
STRM-101619,ACC-101619,tier 2,7,3,1203,no,
STRM-101620,ACC-101620,tier 2,7,3,62,yes,not enough content
STRM-101621,ACC-101621,tier 2,7,3,633,yes,too expensive
STRM-101622,ACC-101622,tier 1,10,3,463,yes,switch to competitor
STRM-101623,ACC-101623,tier 2,7,3,1007,no,
STRM-101624,ACC-101624,tier 3,5,3,1266,no,
STRM-101625,ACC-101625,tier 1,10,3,467,yes,not enough content
STRM-101626,ACC-101626,tier 2,7,3,1269,no,
STRM-101627,ACC-101627,tier 1,10,3,464,yes,switch to competitor
STRM-101628,ACC-101628,tier 2,7,3,1077,no,
STRM-101629,ACC-101629,tier 1,10,3,1183,no,
STRM-101630,ACC-101630,tier 2,7,3,979,no,
STRM-101631,ACC-101631,tier 3,5,3,1203,no,
STRM-101632,ACC-101632,tier 2,7,3,543,yes,switch to competitor
STRM-101633,ACC-101633,tier 2,7,3,1093,no,
STRM-101634,ACC-101634,tier 3,5,3,1146,no,
STRM-101635,ACC-101635,tier 3,5,3,691,yes,too expensive
STRM-101636,ACC-101636,tier 1,10,3,691,yes,too expensive
STRM-101637,ACC-101637,tier 2,7,3,581,yes,not enough content
STRM-101638,ACC-101638,tier 1,10,3,555,yes,too expensive
STRM-101639,ACC-101639,tier 3,5,3,1113,no,
STRM-101640,ACC-101640,tier 3,5,3,679,yes,not enough content
STRM-101641,ACC-101641,tier 2,7,3,1276,no,
STRM-101642,ACC-101642,tier 3,5,3,1255,no,
STRM-101643,ACC-101643,tier 2,7,3,1272,no,
STRM-101644,ACC-101644,tier 2,7,3,994,no,
STRM-101645,ACC-101645,tier 1,10,3,532,yes,switch to competitor
STRM-101646,ACC-101646,tier 3,5,3,1187,no,
STRM-101647,ACC-101647,tier 1,10,3,474,yes,switch to competitor
STRM-101648,ACC-101648,tier 3,5,3,610,yes,not enough content
STRM-101649,ACC-101649,tier 3,5,3,1166,no,
STRM-101650,ACC-101650,tier 2,7,3,1126,no,
STRM-101651,ACC-101651,tier 1,10,3,1055,no,
STRM-101652,ACC-101652,tier 2,7,3,1244,no,
STRM-101653,ACC-101653,tier 2,7,3,1288,no,
STRM-101654,ACC-101654,tier 2,7,3,1091,no,
STRM-101655,ACC-101655,tier 1,10,3,1033,no,
STRM-101656,ACC-101656,tier 3,5,3,1064,no,
STRM-101657,ACC-101657,tier 2,7,3,162,yes,switch to competitor
STRM-101658,ACC-101658,tier 2,7,3,955,no,
STRM-101659,ACC-101659,tier 2,7,3,1211,no,
STRM-101660,ACC-101660,tier 2,7,3,136,yes,too expensive
STRM-101661,ACC-101661,tier 2,7,3,1258,no,
STRM-101662,ACC-101662,tier 2,7,3,1241,no,
STRM-101663,ACC-101663,tier 3,5,3,1169,no,
STRM-101664,ACC-101664,tier 2,7,3,1018,no,
STRM-101665,ACC-101665,tier 3,5,3,515,yes,switch to competitor
STRM-101666,ACC-101666,tier 3,5,3,1141,no,
STRM-101667,ACC-101667,tier 1,10,3,1026,no,
STRM-101668,ACC-101668,tier 3,5,3,1126,no,
STRM-101669,ACC-101669,tier 1,10,3,1249,no,
STRM-101670,ACC-101670,tier 3,5,3,1090,no,
STRM-101671,ACC-101671,tier 2,7,3,1000,no,
STRM-101672,ACC-101672,tier 3,5,3,1117,no,
STRM-101673,ACC-101673,tier 3,5,3,1177,no,
STRM-101674,ACC-101674,tier 3,5,3,331,yes,too expensive
STRM-101675,ACC-101675,tier 3,5,3,1033,no,
STRM-101676,ACC-101676,tier 2,7,3,1052,no,
STRM-101677,ACC-101677,tier 1,10,3,199,yes,not enough content
STRM-101678,ACC-101678,tier 2,7,3,1214,no,
STRM-101679,ACC-101679,tier 1,10,3,1046,no,
STRM-101680,ACC-101680,tier 2,7,3,1308,no,
STRM-101681,ACC-101681,tier 2,7,3,1049,no,
STRM-101682,ACC-101682,tier 3,5,3,1269,no,
STRM-101683,ACC-101683,tier 2,7,3,172,yes,not enough content
STRM-101684,ACC-101684,tier 3,5,3,1233,no,
STRM-101685,ACC-101685,tier 1,10,3,1290,no,
STRM-101686,ACC-101686,tier 3,5,3,279,yes,switch to competitor
STRM-101687,ACC-101687,tier 3,5,3,1216,no,
STRM-101688,ACC-101688,tier 2,7,3,409,yes,switch to competitor
STRM-101689,ACC-101689,tier 2,7,3,1157,no,
STRM-101690,ACC-101690,tier 3,5,3,1305,no,
STRM-101691,ACC-101691,tier 1,10,3,706,yes,too expensive
STRM-101692,ACC-101692,tier 2,7,3,1035,no,
STRM-101693,ACC-101693,tier 2,7,3,1111,no,
STRM-101694,ACC-101694,tier 1,10,3,1247,no,
STRM-101695,ACC-101695,tier 2,7,3,583,yes,too expensive
STRM-101696,ACC-101696,tier 1,10,3,650,yes,switch to competitor
STRM-101697,ACC-101697,tier 1,10,3,508,yes,switch to competitor
STRM-101698,ACC-101698,tier 1,10,3,662,yes,not enough content
STRM-101699,ACC-101699,tier 3,5,3,591,yes,not enough content
STRM-101700,ACC-101700,tier 2,7,3,1117,no,
STRM-101701,ACC-101701,tier 3,5,3,1212,no,
STRM-101702,ACC-101702,tier 2,7,3,478,yes,not enough content
STRM-101703,ACC-101703,tier 2,7,3,1155,no,
STRM-101704,ACC-101704,tier 2,7,3,965,no,
STRM-101705,ACC-101705,tier 2,7,3,1315,no,
STRM-101706,ACC-101706,tier 1,10,3,1118,no,
STRM-101707,ACC-101707,tier 2,7,3,702,yes,switch to competitor
STRM-101708,ACC-101708,tier 1,10,3,381,yes,switch to competitor
STRM-101709,ACC-101709,tier 2,7,3,142,yes,switch to competitor
STRM-101710,ACC-101710,tier 2,7,3,1092,no,
STRM-101711,ACC-101711,tier 1,10,3,956,no,
STRM-101712,ACC-101712,tier 1,10,3,1206,no,
STRM-101713,ACC-101713,tier 3,5,3,1176,no,
STRM-101714,ACC-101714,tier 2,7,3,668,yes,not enough content
STRM-101715,ACC-101715,tier 1,10,3,1028,no,
STRM-101716,ACC-101716,tier 3,5,3,1030,no,
STRM-101717,ACC-101717,tier 1,10,3,1018,no,
STRM-101718,ACC-101718,tier 2,7,3,550,yes,switch to competitor
STRM-101719,ACC-101719,tier 3,5,3,724,yes,too expensive
